순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,분노의 질주: 더 얼티메이트,"20,210,519","21,966,585,490",0,"21,966,585,490","2,279,949","2,279,949","2,297","131,172",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,액션,저스틴 린,"빈 디젤,존 시나,성 강,샤를리즈 테론,미셸 로드리게즈,조다나 브루스터,헬렌 미렌"
2,극장판 귀멸의 칼날: 무한열차편,"20,210,127","20,609,925,980",0,"20,609,925,980","2,145,986","2,145,986",900,"151,306",일본,일본,,워터홀컴퍼니(주),15세이상관람가,애니메이션,소토자키 하루오,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구,히노 사토시,히라카와 다이스케"
3,소울,"20,210,120","19,033,758,180",0,"19,033,758,180","2,048,079","2,048,079","2,018","160,724",미국,미국,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,피트 닥터,"제이미 폭스,티나 페이"
4,크루엘라,"20,210,526","14,709,041,170",0,"14,709,041,170","1,531,969","1,531,969","1,186","94,019",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"드라마,범죄,코미디",크레이그 질레스피,"엠마 스톤,엠마 톰슨,마크 스트롱"
5,미나리,"20,210,303","10,204,927,550",0,"10,204,927,550","1,133,020","1,133,020","1,162","112,861",미국,미국,,판씨네마(주),12세이상관람가,드라마,정이삭,"스티븐 연,한예리,윤여정,앨런 김,노엘 조,윌 패튼"
6,컨저링3: 악마가 시켰다,"20,210,603","7,763,101,840",0,"7,763,101,840","773,088","773,088","1,133","49,913",미국,미국,,워너브러더스 코리아(주),15세이상관람가,"공포(호러),미스터리,스릴러",마이클 차베즈,"베라 파미가,패트릭 윌슨"
7,고질라 VS. 콩,"20,210,325","6,772,634,130",0,"6,772,634,130","703,485","703,485","1,295","62,374",미국,미국,,워너브러더스 코리아(주),12세이상관람가,액션,아담 윈가드,"알렉산더 스카스가드,밀리 바비 브라운,레베카 홀,카일 챈들러,오구리 슌,에이자 곤잘레스"
8,콰이어트 플레이스 2,"20,210,616","6,622,919,070",0,"6,622,919,070","670,671","670,671","1,137","47,972",미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,스릴러,존 크래신스키,"에밀리 블런트,킬리언 머피,노아 주프,밀리센트 시몬스,디몬 하운수,웨인 듀발"
9,발신제한,"20,210,623","4,338,510,980",0,"4,338,510,980","467,786","467,786","1,010","34,225",한국,한국,"(주)티피에스컴퍼니,(주)씨제이이엔엠",(주)씨제이이엔엠,15세이상관람가,"스릴러,액션",김창주,"조우진,이재인,진경,김지호,지창욱,류승수,김태율,전석호,정애연,이설,정인기,남명렬,박영서,조인우,이주한,최유송,전광진,김봉만,배천수,김성수"
10,미션 파서블,"20,210,217","4,064,666,600",0,"4,064,666,600","447,111","447,111",930,"45,091",한국,한국,(주)노시스컴퍼니,(주)메리크리스마스,15세이상관람가,"코미디,액션",김형주,"김영광,이선빈,오대환,서현철,최병모,김태훈,양범,류주한,줄리엔 강,이상홍,이지훈,박지연,박진수,최태환,노영학,나광훈,신혜정,신기환,박광재,정창현,김승현,한갑수,최종남,이주원,김민주,이필라,고다연,민채연,신재민,유주원,고우서,황상경,진우진,문서준,이도겸,정나연,박세원,김동운,전찬웅,고상현,김승준,전시완,송지민,김원중,김철구,주창욱,신세영,박현선,최민혁,서정훈,금종택,전종석,문광식,김재명,이수봉,이상민,이용희,권오철,이동민,이준,금종택,조민교,문광식,김용훈,이명규,윤민규,노성후,서장석,유인선,김경근,박태연,최용성,서은경,박태후,김월선,김병만,최제헌,김병오,서병덕,정미경,박서진,주재훈,홍현종,편한마음,송현주,김이루,김가은,전보람,김지형,김창현,김홍수,노원석,문성철,방수윤,서정화,안재국,양지연,윤주호,임진주,황정민,홍석천,장원영,김호영,장세아"
11,비와 당신의 이야기,"20,210,428","3,634,986,350",0,"3,634,986,350","398,591","398,591",957,"44,028",한국,한국,(주)아지트필름,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티",전체관람가,"드라마,멜로/로맨스",조진모,"강하늘,천우희,이설,이양희,이항나,강영석,고우림,최명빈,원지우,고건한,이윤우,우정원,류혜린,이태영,강영일,박재한,박세현,홍하나임,송영하,우수빈,강후재,조지현,김태순,강이안,박진수,이서연,이민영,이은석,이가영,옥주리,유승신,김선민,지혜나,이유정,김민서,고경민,황도윤,강소라,임주환,김성균,황은수,조진모"
